True_X,True_Y,True_Z,Pred_X,Pred_Y,Pred_Z,Err_0,AbsErr_0,Err_1,AbsErr_1,Err_2,AbsErr_2,Euclidean_Error,Err_X,Err_Y,Err_Z,AbsErr_X,AbsErr_Y,AbsErr_Z
-423.28926953,-9.29705115,18.35602326,-433.622,-6.32185,12.893875,-10.332739747343735,10.332739747343735,2.975201327001953,2.975201327001953,-5.462148137929688,5.462148137929688,12.060356730331355,-10.332730470000001,2.9752011499999993,-5.462148260000001,10.332730470000001,2.9752011499999993,5.462148260000001
177.47298364,-100.91527193,45.39545833,162.97104,-110.25998,38.636032,-14.50194482164062,14.50194482164062,-9.344707318046872,9.344707318046872,-6.759426225507809,6.759426225507809,18.528890483835152,-14.501943640000007,-9.344708069999996,-6.759426329999997,14.501943640000007,9.344708069999996,6.759426329999997
-417.88889905,-147.54147638,-125.68288825,-407.12387,-114.76045,-120.18882,10.765028200390644,10.765028200390644,32.78102410949219,32.78102410949219,5.494068364746099,5.494068364746099,34.938035533058496,10.76502905000001,32.78102638,5.494068249999998,10.76502905000001,32.78102638,5.494068249999998
-441.21461897,66.27368033,51.79836507,-428.3623,30.530783,26.654322,12.852314282500004,12.852314282500004,-35.742897630415044,35.742897630415044,-25.144043399467776,25.144043399467776,45.551725701180175,12.852318969999999,-35.742897330000005,-25.144043070000002,12.852318969999999,35.742897330000005,25.144043070000002
-284.688405,-79.0496275,-16.42319127,-282.77295,-114.995514,-44.829582,1.9154557812499888,1.9154557812499888,-35.945886416015625,35.945886416015625,-28.40639094435547,28.40639094435547,45.85519336382017,1.9154550000000086,-35.9458865,-28.406390730000002,1.9154550000000086,35.9458865,28.406390730000002
90.52356937,-39.59594306,92.91346107,69.18368,-80.132744,71.93011,-21.33989169666016,21.33989169666016,-40.536800775449215,40.536800775449215,-20.983353953300774,20.983353953300774,50.387737902190985,-21.33988937000001,-40.53680094,-20.983351069999998,21.33988937000001,40.53680094,20.983351069999998
-413.19033429,-145.38874985,-79.44595851,-402.04175,-125.27589,-130.4112,11.14858624312501,11.14858624312501,20.11286331435548,20.11286331435548,-50.96523533765625,50.96523533765625,55.9130924126988,11.14858429000003,20.112859850000007,-50.96524149000001,11.14858429000003,20.112859850000007,50.96524149000001
-54.22929286,11.58000043,42.47967956,-56.640907,0.6217309,-13.868818,-2.411614427597655,2.411614427597655,-10.958269506347351,10.958269506347351,-56.348497843081056,56.348497843081056,57.454788583038926,-2.4116141399999975,-10.95826953,-56.34849756,2.4116141399999975,10.95826953,56.34849756
-441.74190922,-180.99419618,-141.92429537,-418.53348,-128.94382,-128.68596,23.2084314367969,23.2084314367969,52.050379041328114,52.050379041328114,13.238336507695324,13.238336507695324,58.5074898684592,23.208429220000028,52.05037618,13.238335370000016,23.208429220000028,52.05037618,13.238335370000016
214.41387342,-177.34175777,-67.99770469,214.96532,-159.87816,-7.7646422,0.5514433524609501,0.5514433524609501,17.46359920066405,17.46359920066405,60.23306245138306,60.23306245138306,62.716051831466466,0.5514465800000039,17.46359776999998,60.23306249000001,0.5514465800000039,17.46359776999998,60.23306249000001
393.41006102,-173.81053574,-33.45241973,346.41754,-133.73238,-53.107353,-46.99251951609375,46.99251951609375,40.07815964136719,40.07815964136719,-19.654933480449216,19.654933480449216,64.8141342701034,-46.99252102000003,40.07815574,-19.65493327,46.99252102000003,40.07815574,19.65493327
433.67244592,-178.01425138,-124.04354847,388.54254,-207.11136,-87.126915,-45.12990441609372,45.12990441609372,-29.09710726257813,29.09710726257813,36.91663349197266,36.91663349197266,65.16278052040485,-45.12990592,-29.09710862,36.91663347000001,45.12990592,29.09710862,36.91663347000001
84.35778691,-27.81629042,91.79750032,96.520226,28.46193,59.9403,12.162438614902342,12.162438614902342,56.27821974128906,56.27821974128906,-31.85720033220703,31.85720033220703,65.80307158855635,12.162439089999992,56.27822042,-31.857200319999997,12.162439089999992,56.27822042,31.857200319999997
320.23263247,-94.82879244,-73.41847954,271.51526,-99.6651,-26.049736,-48.7173736809375,48.7173736809375,-4.836307657656249,4.836307657656249,47.36874351705079,47.36874351705079,68.1217301288944,-48.71737246999999,-4.8363075599999945,47.36874354000001,48.71737246999999,4.8363075599999945,47.36874354000001
164.51474588,0.99019308,-53.32126391,91.484955,3.0101032,-69.843864,-73.02979104601562,73.02979104601562,2.019910145708008,2.019910145708008,-16.52260053091797,16.52260053091797,74.90278170137259,-73.02979088,2.01991012,-16.522600089999997,73.02979088,2.01991012,16.522600089999997
-69.62273763,44.99664549,91.09827807,-29.6739,-14.258879,61.964676,39.94883702575196,39.94883702575196,-59.25552419788574,59.25552419788574,-29.13360216667969,29.13360216667969,77.1744360533085,39.94883763,-59.25552449,-29.13360207000001,39.94883763,59.25552449,29.13360207000001
-3.66126369,109.82281756,-27.89978825,-39.323524,51.68871,14.472837,-35.66226078509766,35.66226078509766,-58.1341083009668,58.1341083009668,42.37262569812012,42.37262569812012,80.29203349519047,-35.66226031,-58.134107560000004,42.37262525,35.66226031,58.134107560000004,42.37262525
324.88012563,-181.78887501,-80.76929483,306.87158,-139.87227,-14.638426,-18.00854359875001,18.00854359875001,41.916606333242186,41.916606333242186,66.13086900297364,66.13086900297364,80.34053337813246,-18.008545630000015,41.91660501000001,66.13086883000001,18.008545630000015,41.91660501000001,66.13086883000001
338.53782061,-120.69782043,-183.48698633,389.00504,-154.29105,-128.64156,50.46721479039064,50.46721479039064,-33.59322571257813,33.59322571257813,54.8454305438672,54.8454305438672,81.75246843503,50.467219390000025,-33.59322957000002,54.84542633000001,50.467219390000025,33.59322957000002,54.84542633000001
-360.51975551,-116.84199727,28.06807446,-278.9458,-95.21166,15.9957485,81.57395472874998,81.57395472874998,21.630334977519524,21.630334977519524,-12.072325940102536,12.072325940102536,85.25211294769117,81.57395550999996,21.63033727,-12.072325959999999,81.57395550999996,21.63033727,12.072325959999999
